codAuto;codMonitoramento;data;Elemento;km;Estado;Rodovia;Sentido;Altura;Largura;Diametro;Dimensão;EstadoConservacao;Localizacao;CaixaAla;Tipo;TipoMontante;MaterialRevestimento;formato;SIGLA;repararEntorno;medidaAproximada;elementoExcluido;motivoExclusao;Latitude1;Longitude1;OK;Limpeza;Assoreado;Afogado;TestaAlaDanificada;TubulacaoDanificada;CaixaDanificada;Erosao;FissurasTrincas;SemTampa;Tampadanificada;TampaDanificadaInexist;Estrutura;SemSolucaoImediata;TipoSemSolucaoImediata;DescricaoOutroSemSolucaoImediata;Observacao;funcionario;Marginal;Correcao;dataEnvio;InterferenciaTerceiros;TipoInterferenciaTerceiros;fotoInterna;descricaoFotoInterna;descricaoOutroFotoInterna;inacessivelRocada;Semestre;Ano;Controle;removido;lote;Foto1_Ficha;Foto2_Ficha;Foto1;Foto2;Foto3;Foto4;Foto5;Foto6;Foto7;Foto8;Foto9;Foto10;Foto11;Foto12;Foto13;Foto14;Foto15;Foto1_fichas_nova;Foto2_fichas_nova;Foto3_fichas_nova;Foto4_fichas_nova;observacaoAlteracao;sync;edit
943;1004;30/9/2020;BUEIRO;226+310;ES;BR-101;SUL;1,00;0,70;0,00;1x0,7;Bom;RODOVIA;ALA;SIMPLES;MONTANTE;CONCRETO;CELULAR;BSCC;NÃO;NÃO;NÃO;NÃO;-19,90514047;-40,40767576;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;30/9/2020;Sim;Mangueira;;;;N;4;2020;;;BR-101;WhatsApp Image 2020-10-01 at 09.43.01.jpeg;WhatsApp Image 2020-10-01 at 09.41.59.jpeg;Drenagem_BU_226+310_107_ECO101_20200930_080407.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080521.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080417.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080503.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080508.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080515.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080413.jpg;Drenagem_BU_226+310_107_ECO101_20200930_080526.jpg;;;;;;;;;;;;;;
944;1105;30/9/2020;BUEIRO;226+310;ES;BR-101;NORTE;1,00;0,70;0,00;1x0,7;Regular;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;CELULAR;BSCC;NÃO;NÃO;NÃO;NÃO;-19,9050687891258;-40,4074440385658;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;Trabalha afogado.;GILMAR APARECIDO ANACLETO;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_226+310_394_ECO101_20200930_080413.jpg;Drenagem_BU_226+310_394_ECO101_20200930_080431.jpg;Drenagem_BU_226+310_394_ECO101_20200930_080413.jpg;Drenagem_BU_226+310_394_ECO101_20200930_080431.jpg;Drenagem_BU_226+310_394_ECO101_20200930_080521.jpg;Drenagem_BU_226+310_394_ECO101_20200930_080531.jpg;;;;;;;;;;;;;;;;;;
945;979;30/9/2020;BUEIRO;226+410;ES;BR-101;SUL;0,90;0,70;0,00;0,9x0,7;Bom;RODOVIA;ALA;SIMPLES;MONTANTE;CONCRETO;CELULAR;BSCC;NÃO;NÃO;NÃO;NÃO;-19,90592877;-40,40744669;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;WhatsApp Image 2020-10-01 at 10.05.47.jpeg;WhatsApp Image 2020-10-01 at 10.06.07.jpeg;Drenagem_BU_226+410_107_ECO101_20200930_080000.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080053_1.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080014.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080019.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080036.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080041_1.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080047_1.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080010.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080059_1.jpg;Drenagem_BU_226+410_107_ECO101_20200930_080105_1.jpg;;;;;;;;;;;;
946;1095;30/9/2020;BUEIRO;226+410;ES;BR-101;NORTE;0,90;0,70;0,00;0,9x0,7;Regular;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;CELULAR;BSCC;SIM;NÃO;NÃO;NÃO;-19,9059703534504;-40,407331246418;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;Elemento coberto pela vegetação.;GILMAR APARECIDO ANACLETO;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_226+410_394_ECO101_20200930_080012.jpg;Drenagem_BU_226+410_394_ECO101_20200930_080148.jpg;Drenagem_BU_226+410_394_ECO101_20200930_080012.jpg;Drenagem_BU_226+410_394_ECO101_20200930_080148.jpg;Drenagem_BU_226+410_394_ECO101_20200930_080139.jpg;Drenagem_BU_226+410_394_ECO101_20200930_080035.jpg;;;;;;;;;;;;;;;;;;
948;911;30/9/2020;BUEIRO;226+850;ES;BR-101;SUL;0,00;0,00;0,80;ø0,8;Regular;RODOVIA;ALA;SIMPLES;MONTANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO;NÃO;NÃO;-19,90966382;-40,40694772;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;TESTA SEM ALA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_226+850_107_ECO101_20200930_075651.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075735.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075651.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075735.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075707.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075713.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075729.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075701.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075741.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075747.jpg;Drenagem_BU_226+850_107_ECO101_20200930_075752.jpg;;;;;;;;;;;;;
947;1106;30/9/2020;BUEIRO;226+850;ES;BR-101;NORTE;0,00;0,00;0,80;ø0,8;Regular;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO;NÃO;NÃO;-19,9096743641644;-40,4067492670986;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;TESTA SEM ALA;N;;;;GILMAR APARECIDO ANACLETO;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_226+850_394_ECO101_20200930_075652.jpg;Drenagem_BU_226+850_394_ECO101_20200930_075743.jpg;Drenagem_BU_226+850_394_ECO101_20200930_075652.jpg;Drenagem_BU_226+850_394_ECO101_20200930_075743.jpg;Drenagem_BU_226+850_394_ECO101_20200930_075707.jpg;Drenagem_BU_226+850_394_ECO101_20200930_075750.jpg;;;;;;;;;;;;;;;;;;
950;912;30/9/2020;BUEIRO;226+920;ES;BR-101;SUL;0,00;0,00;0,80;ø0,8;Regular;RODOVIA;ALA;SIMPLES;MONTANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO;NÃO;NÃO;-19,91050671;-40,40695838;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_226+920_107_ECO101_20200930_075415.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075453.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075415.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075453.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075424.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075446.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075429.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075500.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075511.jpg;Drenagem_BU_226+920_107_ECO101_20200930_075517.jpg;;;;;;;;;;;;;;
949;1082;30/9/2020;BUEIRO;226+920;ES;BR-101;NORTE;0,00;0,00;0,80;ø0,8;Regular;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO;NÃO;NÃO;-19,9104866240892;-40,4068409034284;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA SEM ALA;N;;;Elemento coberto pela vegetação.;GILMAR APARECIDO ANACLETO;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_226+920_394_ECO101_20200930_075427.jpg;Drenagem_BU_226+920_394_ECO101_20200930_075444.jpg;Drenagem_BU_226+920_394_ECO101_20200930_075427.jpg;Drenagem_BU_226+920_394_ECO101_20200930_075444.jpg;Drenagem_BU_226+920_394_ECO101_20200930_075513.jpg;Drenagem_BU_226+920_394_ECO101_20200930_075524.jpg;;;;;;;;;;;;;;;;;;
952;1005;30/9/2020;BUEIRO;227+120;ES;BR-101;SUL;0,80;0,60;0,00;0,8x0,6;Bom;RODOVIA;ALA;SIMPLES;MONTANTE;CONCRETO;CELULAR;BSCC;NÃO;NÃO;NÃO;NÃO;-19,91211752;-40,40692641;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;WhatsApp Image 2020-10-01 at 10.34.56.jpeg;WhatsApp Image 2020-10-01 at 10.35.17.jpeg;Drenagem_BU_227+120_107_ECO101_20200930_075032.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075124.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075045.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075053.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075114.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075120.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075040.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075129.jpg;Drenagem_BU_227+120_107_ECO101_20200930_075134.jpg;;;;;;;;;;;;;
951;1107;30/9/2020;BUEIRO;227+120;ES;BR-101;NORTE;0,80;0,60;0,00;0,8x0,6;Bom;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;CELULAR;BSCC;NÃO;NÃO;NÃO;NÃO;-19,9121215922515;-40,4068724353615;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;GILMAR APARECIDO ANACLETO;N;N;30/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_227+120_394_ECO101_20200930_075028.jpg;Drenagem_BU_227+120_394_ECO101_20200930_075109.jpg;Drenagem_BU_227+120_394_ECO101_20200930_075028.jpg;Drenagem_BU_227+120_394_ECO101_20200930_075109.jpg;Drenagem_BU_227+120_394_ECO101_20200930_075157.jpg;Drenagem_BU_227+120_394_ECO101_20200930_075206.jpg;;;;;;;;;;;;;;;;;;
