CodAuto;Identificação;Extensão;km inicial;km final;Tipo de Bueiro;Forma;Rodovia;MONTANTE;;;;;;;JUSANTE;;;;;;ESTADO DE CONSERVAÇÃO MONTANTE;;;;;;;;;;;ESTADO DE CONSERVAÇÃO JUSANTE;;;;;;;;;;Data;FOTOS;;FOTOS;
;;;;;;;;Dimensões (m);Lado;Dispositivo entrada;Material;Estado de Conservação;Coord. Montante (X);Coord. Montante (Y);Dimensões (m);Lado;Estrutura de saída;Material;Estado de Conservação;Coord. Jusante (X);Coord. Jusante (Y);OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;;Montante;Montante pan.;Jusante;Jusante pan.
701;BU 101 ES 143+650 S 1;31,69;143+650;143+660;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3487543359331;-40,0635171513236;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,34850282;-40,06337515;X;;;;;;;;;;X;;;;;;;;;;5/10/2020;;;;
702;BU 101 ES 143+660 N 1;4,84;143+660;143+660;CX;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,34850282;-40,06337515;ø0,3;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,34850727;-40,06332926;X;;;;;;;;;;X;;;;;;;;;;5/10/2020;;;;
703;BU 101 ES 143+660 N 2;9,96;143+660;143+660;CX/ALA;TUBULAR;;ø0,3;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,34850727;-40,06332926;ø0,6;NORTE;TESTA COM ALA;CONCRETO;Regular;-19,34850325;-40,06323441;X;;;;;;;;;;;X;;;;;;;;;5/10/2020;;;;
704;BU 101 ES 143+710 S 1;6,03;143+710;143+710;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,34935088;-40,06354474;ø0,2;SUL;TESTA SEM ALA;METALICO;Regular;-19,34940452;-40,06353616;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
705;BU 101 ES 143+710 S 2;6,03;143+710;143+710;ALA/CX;TUBULAR;;ø0,2;SUL;TESTA SEM ALA;METALICO;Regular;-19,34940452;-40,06353616;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,34935088;-40,06354474;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
706;BU 101 ES 143+720 S 2;11,28;143+720;143+720;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3495904863777;-40,0636452050339;ø0,2;SUL;TESTA SEM ALA;METALICO;Regular;-19,34953478;-40,06355531;;;;;;;;;;X;;X;;;;;;;;;4/10/2020;;;;
707;BU 101 ES 143+730 N 1;31,06;143+730;143+720;CX;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,34976752;-40,06336924;ø0,3;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,3494975;-40,06329343;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
708;BU 101 ES 143+995 S 1;17,64;143+995;143+980;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3519900446898;-40,0637951832393;ø0,6;SUL;TESTA COM ALA;CONCRETO;Bom;-19,3518779097254;-40,0639140652958;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
709;BU 101 ES 144+090 S 1;1,51;144+090;144+090;CX/ALA;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3527984346764;-40,0639119831073;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3528075308535;-40,0639012998756;X;;;;;;;;;;;X;;;;;;;;;7/10/2020;;;;
710;BU 101 ES 144+090 S 3;17,44;144+090;144+090;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;METALICO;Regular;-19,3528502695327;-40,0640688345654;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3527984346764;-40,0639119831073;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
711;BU 101 ES 144+110 N 1;42,06;144+110;144+090;CX;TUBULAR;;ø0,3;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,35307371;-40,06363706;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3527984346764;-40,0639119831073;;X;;;;;;;;;X;;;;;;;;;;7/10/2020;;;;
712;BU 101 ES 144+110 N 2;9,23;144+110;144+110;CX;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,35304493;-40,06371955;ø0,3;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,35307371;-40,06363706;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
713;BU 101 ES 144+120 S 1;31,05;144+120;144+090;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;METALICO;Bom;-19,353128600607;-40,0640930396168;ø0,6;SUL;CAIXA COLETORA;METALICO;Regular;-19,3528502695327;-40,0640688345654;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
714;BU 101 ES 144+300 S 1;104,11;144+300;144+120;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;METALICO;Bom;-19,3540587457544;-40,0642065761167;ø0,6;SUL;CAIXA COLETORA;METALICO;Bom;-19,353128600607;-40,0640930396168;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
715;BU 101 ES 144+410 S 1;165,41;144+410;144+300;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3555303114442;-40,0644369570705;ø0,6;SUL;CAIXA COLETORA;METALICO;Bom;-19,3540587457544;-40,0642065761167;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
716;BU 101 ES 144+580 S 1;7,99;144+580;144+580;CX;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,35702999;-40,06436141;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,35699168;-40,06442583;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
717;BU 101 ES 144+580 S 3;10,36;144+580;144+580;CX/ALA;TUBULAR;;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,35699168;-40,06442583;ø0,6;SUL;TESTA COM ALA;CONCRETO;Regular;-19,35698213;-40,06452407;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
718;BU 101 ES 144+600 N 1;31,76;144+600;144+580;CX;TUBULAR;;ø0,4;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,35727859;-40,0642124;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,35702999;-40,06436141;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
719;BU 101 ES 144+775 S 1;4,61;144+775;144+773;CX/ALA;TUBULAR;;ø1;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,35861261;-40,06459016;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,35858543;-40,06462338;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
720;BU 101 ES 144+780 N 1;23;144+780;144+775;CX/ALA;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,35863316;-40,06427149;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,35855251;-40,06447333;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
721;BU 101 ES 144+800 S 1;43,1;144+800;144+785;CX/ALA;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3588220071439;-40,0645461947198;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,35858449;-40,06487086;;X;;;;;;;;;;X;;;;;;;;;7/10/2020;;;;
722;BU 101 ES 144+805 S 1;8,34;144+805;144+790;ALA;TUBULAR;;ø0,2;SUL;TESTA SEM ALA;PEAD;Regular;-19,3587594;-40,06477472;ø0,2;SUL;TESTA SEM ALA;PEAD;Regular;-19,3588342268234;-40,0647695353873;;X;;;;;;;;;;X;;;;;;;;;7/10/2020;;;;
723;BU 101 ES 144+810 N 1;21,92;144+810;144+800;CX;TUBULAR;;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,35898889;-40,06408727;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,35889675;-40,06427203;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
724;BU 101 ES 144+825 S 1;10,23;144+825;144+835;ALA;TUBULAR;;ø0,2;SUL;TESTA SEM ALA;PEAD;Bom;-19,358971474769;-40,0647690773692;ø0,2;SUL;TESTA SEM ALA;PEAD;Regular;-19,35906042019;-40,0647939694645;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
725;BU 101 ES 144+850 S 1;3,04;144+850;144+846;ALA;TUBULAR;;ø0,2;SUL;TESTA SEM ALA;PEAD;Regular;-19,3592034334294;-40,0647653737419;ø0,2;SUL;TESTA SEM ALA;PEAD;Bom;-19,3592271438779;-40,06477974598;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
726;BU 101 ES 144+870 S 1;6,87;144+870;144+870;ALA;TUBULAR;;ø0,2;SUL;TESTA SEM ALA;PEAD;Bom;-19,35941875;-40,06476669;ø0,2;SUL;TESTA SEM ALA;PEAD;Bom;-19,3594719325903;-40,064799922404;X;;;;;;;;;;X;;;;;;;;;;7/10/2020;;;;
727;BU 101 ES 144+880 N 1;21,53;144+880;144+900;ALA/CX;TUBULAR;;ø0,4;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,35960312;-40,06433425;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,35978665;-40,06439974;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
728;BU 101 ES 144+880 S 1;23,9;144+880;144+900;CX;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3595905193632;-40,0646509590357;ø1;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3598045121196;-40,0646293142732;;X;;;;;;;;;X;;;;;;;;;;7/10/2020;;;;
729;BU 101 ES 144+900 S 1;24,17;144+900;144+900;CX;TUBULAR;;ø1;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3598045121196;-40,0646293142732;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,35978665;-40,06439974;X;;;;;;;;;;X;;;;;;;;;;7/10/2020;;;;
730;BU 101 ES 144+970 N 1;13,59;144+970;144+970;CX/ALA;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,36040524;-40,06457856;ø0,4;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,36042494;-40,06445069;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
731;BU 101 ES 145+010 N 1;20,21;145+010;145+015;ALA;TUBULAR;;ø0,4;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,36082761;-40,06454855;ø0,4;NORTE;TESTA SEM ALA;CONCRETO;Bom;-19,36087815;-40,06436353;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
732;BU 101 ES 145+015 S 1;39,13;145+015;144+990;CX/ALA;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;METALICO;Bom;-19,36081185;-40,06491584;ø0,6;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,3604600977339;-40,0649271516449;X;;;;;;;;;;;X;;;;;;;;;7/10/2020;;;;
733;BU 101 ES 145+030 S 1;18,22;145+030;145+040;CX;TUBULAR;;ø1;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3609729075847;-40,0648256738214;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,360979203971;-40,0649992704525;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
734;BU 101 ES 145+040 S 1;20,56;145+040;145+015;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,360979203971;-40,0649992704525;ø0,8;SUL;CAIXA COLETORA;METALICO;Bom;-19,36081185;-40,06491584;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
735;BU 101 ES 145+080 N 1;5,34;145+080;145+080;CX/ALA;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,36131702;-40,06451916;ø0,4;NORTE;TESTA SEM ALA;CONCRETO;Bom;-19,36128123;-40,06448518;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
736;BU 101 ES 145+080 S 1;31,75;145+080;145+030;ALA/CX;TUBULAR;;ø0,6;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Bom;-19,3612564844988;-40,0648610314506;ø1;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3609729075847;-40,0648256738214;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
737;BU 101 ES 145+140 S 1;5,84;145+140;145+140;ALA;TUBULAR;;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,3616428257994;-40,0649932625353;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,3615902698868;-40,0649925958392;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
738;BU 101 ES 145+150 N 1;47,13;145+150;145+080;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,36173403;-40,06459943;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,36131702;-40,06451916;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
739;BU 101 ES 145+315 N 1;30,51;145+315;145+300;ALA;TUBULAR;;ø0,4;NORTE;TUBULAÇÃO EXPOSTA;CONCRETO;Bom;-19,36347825;-40,06479032;ø0,4;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,36320415;-40,06477736;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
740;BU 101 ES 145+415 S 1;10,32;145+415;145+410;ALA;TUBULAR;;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3649984585322;-40,065197509438;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,36490962325;-40,0652259234678;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
741;BU 101 ES 145+670 S 1;8,3;145+670;145+670;CX/ALA;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3662469209295;-40,0653697223333;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3662903220231;-40,065434121139;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
742;BU 101 ES 145+670 S 2;137,92;145+670;145+420;CX/ALA;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3662469209295;-40,0653697223333;ø0,6;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3650110059015;-40,0652582396114;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
743;BU 101 ES 145+710 S 1;3,84;145+710;145+710;CX/ALA;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,366694745343;-40,0654173158064;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,3667039509722;-40,0653819991032;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
744;BU 101 ES 145+800 S 1;3,99;145+800;145+800;CX/ALA;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3674821058055;-40,0654753924157;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3674824053378;-40,0655134115836;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
745;BU 101 ES 145+850 N 1;92,87;145+850;145+940;ALA/CX;TUBULAR;;ø0,4;NORTE;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,36830215;-40,06524828;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,36912521;-40,06539874;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
746;BU 101 ES 145+900 S 1;36,14;145+900;145+940;ALA/CX;TUBULAR;;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,36873467;-40,06569351;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,36905967;-40,06569123;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
747;BU 101 ES 145+940 N 1;13,26;145+940;145+950;ALA;TUBULAR;;ø0,2;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,36915283;-40,0655013;ø0,2;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,36926966;-40,06547581;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
748;BU 101 ES 145+940 N 2;77,59;145+940;146+010;CX;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,36912521;-40,06539874;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,36982061;-40,06545979;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
749;BU 101 ES 145+940 S 1;26,15;145+940;145+960;CX;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,36905967;-40,06569123;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,36929223;-40,06572852;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
750;BU 101 ES 145+960 S 1;86,56;145+960;146+040;CX;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,36929223;-40,06572852;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3700706615106;-40,0657331860873;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
751;BU 101 ES 146+005 S 1;4,42;146+005;146+020;ALA;TUBULAR;;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,36976032;-40,06590301;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,36979972;-40,06590829;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
752;BU 101 ES 146+010 N 1;21,81;146+010;146+030;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,36982061;-40,06545979;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,37001583;-40,06547978;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
753;BU 101 ES 146+010 S 1;5,97;146+010;146+035;ALA;TUBULAR;;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Bom;-19,3698792210666;-40,0658835179037;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3699173816918;-40,065923584557;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
754;BU 101 ES 146+030 N 1;30,83;146+030;146+060;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,37001583;-40,06547978;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,37029213;-40,0655042;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
755;BU 101 ES 146+035 S 2;3,48;146+035;146+025;ALA;TUBULAR;;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,36983218;-40,06590309;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,36986284;-40,06589634;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
756;BU 101 ES 146+040 S 1;22,15;146+040;146+060;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3700706615106;-40,0657331860873;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3702543367168;-40,0658149651153;;X;;;;;;;;;X;;;;;;;;;;7/10/2020;;;;
757;BU 101 ES 146+060 N 1;32,87;146+060;146+060;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,37029213;-40,0655042;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3702543367168;-40,0658149651153;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
758;BU 101 ES 146+060 S 1;14,32;146+060;146+060;CX;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3702543367168;-40,0658149651153;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,370258152991;-40,0659513777353;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
759;BU 101 ES 146+060 S 2;37,92;146+060;146+090;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,370258152991;-40,0659513777353;ø0,6;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,3705846326535;-40,066055695992;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
760;BU 101 ES 146+065 S 1;23,7;146+065;146+060;ALA/CX;TUBULAR;;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Bom;-19,3704563590013;-40,0658871244559;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3702543367168;-40,0658149651153;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
761;BU 101 ES 146+110 S 1;10,09;146+110;146+110;CX/ALA;TUBULAR;;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3707172144609;-40,0659638371965;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3707056236222;-40,0658684687331;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
762;BU 101 ES 146+110 S 3;13,69;146+110;146+110;ALA/CX;TUBULAR;;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Bom;-19,3707270232621;-40,0660939144036;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3707172144609;-40,0659638371965;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
763;BU 101 ES 146+120 S 1;13,41;146+120;146+130;CX;TUBULAR;;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3708677167206;-40,0658004486663;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,370969221147;-40,0658694857746;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
764;BU 101 ES 146+130 N 1;37,71;146+130;146+100;CX/ALA;TUBULAR;;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,3710718;-40,06557248;ø0,6;NORTE;TESTA SEM ALA;CONCRETO;Regular;-19,37073471;-40,06561187;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
765;BU 101 ES 146+130 S 2;7,24;146+130;146+130;ALA/CX;TUBULAR;;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Regular;-19,3710026987316;-40,0659286415825;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,370969221147;-40,0658694857746;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
766;BU 101 ES 146+130 S 3;4,41;146+130;146+130;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,370969221147;-40,0658694857746;ø0,4;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Bom;-19,3709300306644;-40,0658627771323;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
767;BU 101 ES 146+200 N 1;40,82;146+200;146+130;CX;TUBULAR;;ø0,4;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,37143632;-40,06561828;ø0,6;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,3710718;-40,06557248;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
768;BU 101 ES 146+209 S 1;2,42;146+209;146+210;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3715729256991;-40,065924468492;ø0,4;SUL;TESTA SEM ALA;CONCRETO;Regular;-19,3715920172559;-40,0659354844192;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
769;BU 101 ES 146+217 N 1;13,47;146+217;146+220;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;METALICO;Regular;-19,3717046;-40,06553533;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,37173466;-40,06565972;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
770;BU 101 ES 146+220 N 1;33,46;146+220;146+200;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,37173466;-40,06565972;ø0,4;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,37143632;-40,06561828;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
771;BU 101 ES 146+220 S 1;20,65;146+220;146+209;CX;TUBULAR;;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3717579251382;-40,0659071209703;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3715729256991;-40,065924468492;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
772;BU 101 ES 146+260 S 1;36,98;146+260;146+220;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3720897725434;-40,0659295914254;ø0,8;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3717579251382;-40,0659071209703;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
773;BU 101 ES 146+270 N 1;57,6;146+270;146+220;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;METALICO;Bom;-19,37222857;-40,06582535;ø1;NORTE;CAIXA COLETORA;CONCRETO;Bom;-19,37173466;-40,06565972;X;;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
774;BU 101 ES 146+300 N 1;37,88;146+300;146+270;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,37256851;-40,06584944;ø1;NORTE;CAIXA COLETORA;METALICO;Bom;-19,37222857;-40,06582535;;X;;;;;;;;;X;;;;;;;;;;7/10/2020;;;;
775;BU 101 ES 146+330 S 1;79,58;146+330;146+260;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3727988116706;-40,0660326984592;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3720897725434;-40,0659295914254;X;;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
776;BU 101 ES 146+400 N 1;91,74;146+400;146+300;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;METALICO;Regular;-19,37338249;-40,06599229;ø1;NORTE;CAIXA COLETORA;CONCRETO;Regular;-19,37256851;-40,06584944;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
777;BU 101 ES 146+420 S 1;90,53;146+420;146+330;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-19,3736072672137;-40,0661343691484;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-19,3727988116706;-40,0660326984592;;X;;;;;;;;;X;;;;;;;;;;4/10/2020;;;;
778;BU 101 ES 146+500 N 1;105,39;146+500;146+400;CX;TUBULAR;;ø1;NORTE;CAIXA COLETORA;METALICO;Regular;-19,37432876;-40,06604965;ø1;NORTE;CAIXA COLETORA;METALICO;Regular;-19,37338249;-40,06599229;;X;;;;;;;;;;X;;;;;;;;;4/10/2020;;;;
